Intent,Example,Response
BloodSugarCheck,Tokluk sekerim 250 cikti. (51),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (52),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (53),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (54),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (55),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (56),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (57),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (58),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (59),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (60),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Tokluk sekerim 250 cikti. (61),"Tokluk sekeri icin yuksek bir deger, insulininizi kontrol edin ve hekiminizi bilgilendirin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (62),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (63),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (64),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (65),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (66),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (67),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (68),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (69),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (70),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (71),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (72),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (73),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Ac kan sekerim 180 normal mi? (74),"Ac kan sekeri 100 ustu genelde yuksek sayilir, doktorunuza danisin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (75),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
BloodSugarCheck,Kan sekerim 200 cikti ne yapmaliyim? (76),"Kan sekeriniz yuksek, su icin, dinlenin ve gerekirse doktorunuzu arayin."
Nutrition,Aksam yemeginde ne yemeliyim? (1),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (2),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (3),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabete uygun kahvalti nedir? (4),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (5),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (6),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (7),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Aksam yemeginde ne yemeliyim? (8),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (9),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (10),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (11),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (12),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (13),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (14),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (15),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (16),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabete uygun kahvalti nedir? (17),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (18),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabete uygun kahvalti nedir? (19),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (20),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabete uygun kahvalti nedir? (21),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (22),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (23),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (24),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (25),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (26),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (27),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (28),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (29),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (30),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (31),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (32),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabet icin atistirmalik onerir misin? (33),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabet icin atistirmalik onerir misin? (34),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Aksam yemeginde ne yemeliyim? (35),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (36),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (37),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (38),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (39),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (40),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (41),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (42),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (43),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (44),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (45),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (46),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabet icin atistirmalik onerir misin? (47),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabet icin atistirmalik onerir misin? (48),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabete uygun kahvalti nedir? (49),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (50),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (51),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (52),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (53),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Aksam yemeginde ne yemeliyim? (54),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (55),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (56),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabet icin atistirmalik onerir misin? (57),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabete uygun kahvalti nedir? (58),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (59),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabet icin atistirmalik onerir misin? (60),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabete uygun kahvalti nedir? (61),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (62),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabete uygun kahvalti nedir? (63),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabete uygun kahvalti nedir? (64),"Tam tahil, yumurta, yesillik ve sekersiz icecekler tercih edebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (65),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Aksam yemeginde ne yemeliyim? (66),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (67),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (68),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (69),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Aksam yemeginde ne yemeliyim? (70),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (71),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabet icin atistirmalik onerir misin? (72),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabet icin atistirmalik onerir misin? (73),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Diyabet icin atistirmalik onerir misin? (74),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
Nutrition,Aksam yemeginde ne yemeliyim? (75),"Sebze, zeytinyagli yemekler ve az miktarda tam tahil ekmegi tuketebilirsiniz."
Nutrition,Diyabet icin atistirmalik onerir misin? (76),"Cig badem, findik, yogurt gibi protein agirlikli atistirmaliklar tercih edin."
InsulinInfo,Insulin iğnesi nasil kullanilir? (1),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (2),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Hangi insulin daha etkili? (3),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin iğnesi nasil kullanilir? (4),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (5),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (6),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (7),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (8),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Hangi insulin daha etkili? (9),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (10),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (11),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (12),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (13),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (14),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (15),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (16),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (17),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (18),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (19),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Hangi insulin daha etkili? (20),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (21),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (22),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (23),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (24),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (25),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Hangi insulin daha etkili? (26),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin iğnesi nasil kullanilir? (27),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (28),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (29),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (30),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (31),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Hangi insulin daha etkili? (32),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (33),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (34),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (35),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (36),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (37),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (38),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (39),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (40),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Hangi insulin daha etkili? (41),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin iğnesi nasil kullanilir? (42),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Hangi insulin daha etkili? (43),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (44),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (45),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Hangi insulin daha etkili? (46),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin iğnesi nasil kullanilir? (47),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (48),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (49),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (50),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (51),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (52),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (53),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Hangi insulin daha etkili? (54),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Hangi insulin daha etkili? (55),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (56),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Hangi insulin daha etkili? (57),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Hangi insulin daha etkili? (58),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (59),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (60),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (61),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (62),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (63),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Hangi insulin daha etkili? (64),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Hangi insulin daha etkili? (65),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin iğnesi nasil kullanilir? (66),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (67),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (68),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (69),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (70),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (71),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Hangi insulin daha etkili? (72),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (73),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
InsulinInfo,Insulin iğnesi nasil kullanilir? (74),Iğneyi kullanmadan once ellerinizi temizleyin ve doktorunuzun gosterdigi sekilde uygulayin.
InsulinInfo,Hangi insulin daha etkili? (75),"Her insulin turu farklidir, uygun tur icin endokrin uzmanina danisin."
InsulinInfo,Insulin dozumu nasil ayarlayacagim? (76),Insulin dozunuz icin doktorunuzun talimatlarini uygulayin.
Exercise,Egzersiz sekeri dusurur mu? (1),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Gunde kac adim atilmali? (2),Ortalama 7000-10000 adim gunde iyi bir hedef olabilir.
Exercise,Hangi spor diyabete iyi gelir? (3),"Hafif yuruyus, yoga, pilates gibi aktiviteler onemlidir."
Exercise,Gunde kac adim atilmali? (4),Ortalama 7000-10000 adim gunde iyi bir hedef olabilir.
Exercise,Egzersiz sekeri dusurur mu? (5),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Egzersiz sekeri dusurur mu? (6),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Egzersiz sekeri dusurur mu? (7),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Hangi spor diyabete iyi gelir? (8),"Hafif yuruyus, yoga, pilates gibi aktiviteler onemlidir."
Exercise,Hangi spor diyabete iyi gelir? (9),"Hafif yuruyus, yoga, pilates gibi aktiviteler onemlidir."
Exercise,Egzersiz sekeri dusurur mu? (10),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Egzersiz sekeri dusurur mu? (11),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Egzersiz sekeri dusurur mu? (12),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Egzersiz sekeri dusurur mu? (13),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Egzersiz sekeri dusurur mu? (14),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Hangi spor diyabete iyi gelir? (15),"Hafif yuruyus, yoga, pilates gibi aktiviteler onemlidir."
Exercise,Egzersiz sekeri dusurur mu? (16),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Gunde kac adim atilmali? (17),Ortalama 7000-10000 adim gunde iyi bir hedef olabilir.
Exercise,Hangi spor diyabete iyi gelir? (18),"Hafif yuruyus, yoga, pilates gibi aktiviteler onemlidir."
Exercise,Egzersiz sekeri dusurur mu? (19),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Hangi spor diyabete iyi gelir? (20),"Hafif yuruyus, yoga, pilates gibi aktiviteler onemlidir."
Exercise,Egzersiz sekeri dusurur mu? (21),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Hangi spor diyabete iyi gelir? (22),"Hafif yuruyus, yoga, pilates gibi aktiviteler onemlidir."
Exercise,Gunde kac adim atilmali? (23),Ortalama 7000-10000 adim gunde iyi bir hedef olabilir.
Exercise,Hangi spor diyabete iyi gelir? (24),"Hafif yuruyus, yoga, pilates gibi aktiviteler onemlidir."
Exercise,Gunde kac adim atilmali? (25),Ortalama 7000-10000 adim gunde iyi bir hedef olabilir.
Exercise,Egzersiz sekeri dusurur mu? (26),"Evet, duzenli egzersiz kan sekerini dengelemeye yardimci olur."
Exercise,Hangi spor diyabete iyi gelir? (27),"Hafif yuruyus, yoga, pilates gibi aktiviteler onemlidir."
